Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1608987600000,0.00001586,0.00001586,0.00001586,0.00001586,0.00000000,1608987659999,0.00000000,0,0.00000000,0.00000000,0
1608987660000,0.00001586,0.00001586,0.00001586,0.00001586,0.00000000,1608987719999,0.00000000,0,0.00000000,0.00000000,0
1608987720000,0.00001593,0.00001593,0.00001593,0.00001593,125.00000000,1608987779999,0.00199125,6,11.00000000,0.00017523,0
1608987780000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608987839999,0.00000000,0,0.00000000,0.00000000,0
1608987840000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608987899999,0.00000000,0,0.00000000,0.00000000,0
1608987900000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608987959999,0.00000000,0,0.00000000,0.00000000,0
1608987960000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988019999,0.00000000,0,0.00000000,0.00000000,0
1608988020000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988079999,0.00000000,0,0.00000000,0.00000000,0
1608988080000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988139999,0.00000000,0,0.00000000,0.00000000,0
1608988140000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988199999,0.00000000,0,0.00000000,0.00000000,0
1608988200000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988259999,0.00000000,0,0.00000000,0.00000000,0
1608988260000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988319999,0.00000000,0,0.00000000,0.00000000,0
1608988320000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988379999,0.00000000,0,0.00000000,0.00000000,0
1608988380000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988439999,0.00000000,0,0.00000000,0.00000000,0
1608988440000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988499999,0.00000000,0,0.00000000,0.00000000,0
1608988500000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988559999,0.00000000,0,0.00000000,0.00000000,0
1608988560000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988619999,0.00000000,0,0.00000000,0.00000000,0
1608988620000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988679999,0.00000000,0,0.00000000,0.00000000,0
1608988680000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988739999,0.00000000,0,0.00000000,0.00000000,0
1608988740000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988799999,0.00000000,0,0.00000000,0.00000000,0
1608988800000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988859999,0.00000000,0,0.00000000,0.00000000,0
1608988860000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988919999,0.00000000,0,0.00000000,0.00000000,0
1608988920000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608988979999,0.00000000,0,0.00000000,0.00000000,0
1608988980000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608989039999,0.00000000,0,0.00000000,0.00000000,0
1608989040000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608989099999,0.00000000,0,0.00000000,0.00000000,0
1608989100000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608989159999,0.00000000,0,0.00000000,0.00000000,0
1608989160000,0.00001593,0.00001593,0.00001593,0.00001593,0.00000000,1608989219999,0.00000000,0,0.00000000,0.00000000,0
1608989220000,0.00001579,0.00001579,0.00001572,0.00001578,2168.00000000,1608989279999,0.03409564,23,168.00000000,0.00264648,0
1608989280000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989339999,0.00000000,0,0.00000000,0.00000000,0
1608989340000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989399999,0.00000000,0,0.00000000,0.00000000,0
1608989400000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989459999,0.00000000,0,0.00000000,0.00000000,0
1608989460000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989519999,0.00000000,0,0.00000000,0.00000000,0
1608989520000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989579999,0.00000000,0,0.00000000,0.00000000,0
1608989580000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989639999,0.00000000,0,0.00000000,0.00000000,0
1608989640000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989699999,0.00000000,0,0.00000000,0.00000000,0
1608989700000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989759999,0.00000000,0,0.00000000,0.00000000,0
1608989760000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989819999,0.00000000,0,0.00000000,0.00000000,0
1608989820000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989879999,0.00000000,0,0.00000000,0.00000000,0
1608989880000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989939999,0.00000000,0,0.00000000,0.00000000,0
1608989940000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608989999999,0.00000000,0,0.00000000,0.00000000,0
1608990000000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1608990059999,0.00000000,0,0.00000000,0.00000000,0
